DMP服务器硬盘信息统计,,,,,,,,
,,,,,,,,
,,,,,,,,
主机名,IP复制和Idac管理地址,SN,服务器型号,当前硬盘数和Raid信息,硬盘插槽总数,已使用硬盘插槽,未使用硬盘插槽,备注
dmp-job-002,10.96.30.192/10.96.35.61 ,192WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
dmp-job-003,10.96.30.193/10.96.35.66,882WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hadoop-client-001,10.96.28.101/10.96.35.166,2BRXS42,R420,1X300G,4 X 3.5,1,3,
hadoop-client-002,10.96.28.102/10.96.35.165,3RPXS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-client-003,10.96.30.83/10.96.35.62,B82WS42,R420,1X300G,4 X 3.5,1,3,
hd-client-004,10.96.30.84/10.96.35.59,162WS42,R420,1X300G,4 X 3.5,1,3,
hd-client-005,10.96.30.85/10.96.35.67,582WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-slave-021,10.96.29.54/10.96.33.3,FTSVQ42,R420,2X300G(Raid1)    2X4TB(未做Raid),4 X 3.5,4,0,
hd-slave-022,10.96.29.64/10.96.34.5,DRSVQ42,R420,2X300G(Raid1)    2X4TB(未做Raid),4 X 3.5,4,0,
hd-slave-023,10.96.29.67/10.96.35.200,BCNXS42,R420,2X300G(Raid1)    2X4TB(未做Raid),4 X 3.5,4,0,
hd-001,10.96.30.61/10.96.61.198,9424Z42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-002,10.96.30.62/10.96.61.197,CGK2Z42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-003,10.96.30.63/10.96.62.196,7424Z42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-004,10.96.30.64/10.96.61.205,F92WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-005,10.96.30.65/10.96.61.206,C23WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-006,10.96.30.66/10.96.61.207,C424Z42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-client-001,10.96.30.81/10.96.61.208,952WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-client-002,10.96.30.82/10.96.35.65,282WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-zk-001,10.96.30.91/10.96.62.178,632WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-zk-002,10.96.30.92/10.96.61.218,372WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-zk-003,10.96.30.93/10.96.61.217,8424Z42,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-zk-004,10.96.30.94/10.96.61.210,B424Z42 ,R420,2X300G(Raid1),4 X 3.5,2,2,
hd-zk-005,10.96.30.95/10.96.61.209,332WS42 ,R420,2X300G(Raid1),4 X 3.5,2,2,
10.96.29.78:/data,10.96.29.78/10.96.61.209,332WS42,R420,2X300G(Raid1),4 X 3.5,2,2,
10.96.37.100:/data/,10.96.37.100/10.96.35.14,F8RKF3X ,R420,1X1.5T,4 X 3.5,1,3,
hd-dbb-001,10.96.30.59/10.96.33.214,6SZMT2X,R610,2X500G,6 X 2.5,2,4,
hd-slave-001,10.96.30.101/10.96.61.215,DJZ6Z42 ,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-002,10.96.30.102/10.96.61.211,3JZ6Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-003,10.96.30.103/10.96.61.213,1524Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-004,10.96.30.104/10.96.61.212,9JZ6Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-005,10.96.30.105/10.96.61.201,D424Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-006,10.96.30.106/10.96.62.199,G424Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-007,10.96.30.107/10.96.61.200,6JZ6Z42,R620,1X140G    6X600G,6 X 2.5,6,0,
hd-slave-008,10.96.30.108/10.96.62.198,J424Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-009,10.96.30.109/10.96.61.199,FSZ6Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-010,10.96.30.110/10.96.62.197,5524Z42 ,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-011,10.96.30.111/10.96.61.216,BSZ6Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-012,10.96.30.112/10.96.61.214,BHZ6Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-013,10.96.30.113/10.96.62.193,4K62Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-014,10.96.30.114/10.96.61.195,GK62Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-015,10.96.30.115/10.96.62.194,1H62Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-016,10.96.30.116/10.96.61.196,7J62Z42,R620,"2X140G    6X600G(Raid1,Raid0)",6 X 2.5,6,0,
hd-slave-017,10.96.30.117/10.96.62.195,HH62Z42,R620,1X140G    6X600G,6 X 2.5,6,0,
dmp-admin,10.96.30.190/10.96.61.204 ,4NTKF3X  ,R620,6X900G(Raid5),6 X 2.5,6,0,
dmp-hiveserver2-001,10.96.30.199/10.96.30.199,2CB2Z42,R620,1X300G,6 X 2.5,1,5,
dmp-job-001,10.96.30.191/10.96.62.200,338Z622,R620,6X900G(Raid5),6 X 2.5,6,0,
hadoop-master-001,10.96.29.69/10.96.33.138,8N8Q202,R620,1X1.5T,6 X 2.5,1,5,
